"Freq [GHz]","dB10(MEG1) []","dB10(MEG2) []","dB10(MEG1)_1 []","dB10(MEG2)_1 []"
4.8,-4.02085862758598,-4.02255001204208,,
4.81,-3.98258858746412,-3.99067377172255,,
4.82,-3.88135609623159,-3.89607988358115,,
4.83,-3.72216174648091,-3.74236792420416,,
4.84,-3.52533698717097,-3.54788734803563,,
4.85,-3.3299016979406,-3.34957976764928,,
4.86,-3.18927288593587,-3.1996815530938,,
4.87,-3.15479942225519,-3.15022709744083,,
4.88,-3.25416375429232,-3.2314324296485,,
4.89,-3.48248943907339,-3.44157676724813,,
4.9,-3.81272855167998,-3.75599461112208,,
4.91,-4.21230749204542,-4.14317746415148,,
4.92,-4.65328091376934,-4.57520297368183,,
4.93,-5.11491827353082,-5.03084187227349,,
4.94,-5.58273956674332,-5.49498384502738,,
4.95,-6.0468304721783,-5.95714682734368,,
4.96,-6.50040980560152,-6.41010651893847,,
4.97,-6.93878323885008,-6.84884895818944,,
4.98,-7.35860898496089,-7.26981314538829,,
4.99,-7.75739031200661,-7.67035735608825,,
5,-8.13313201933678,-8.04839287512676,,
5.4,,,-5.20604586516395,-5.19933285144218
5.41,,,-5.05789158936186,-5.05194738031619
5.42,,,-4.91766218007445,-4.91248867704301
5.43,,,-4.78516240483274,-4.78075952450839
5.44,,,-4.66012365081741,-4.65648858248961
5.45,,,-4.54221034002096,-4.53933703007175
5.46,,,-4.43102754141101,-4.42890634503776
5.47,,,-4.32612975088006,-4.32474717957214
5.48,,,-4.22703079919085,-4.22636927931997
5.49,,,-4.1332148703097,-4.13325241216508
5.5,,,-4.04414866705703,-4.04485832407622
5.51,,,-3.95929483587881,-3.96064381346471
5.52,,,-3.87812681898444,-3.88007508359093
5.53,,,-3.80014524443923,-3.80264352637596
5.54,,,-3.7248955930118,-3.7278828670038
5.55,,,-3.65198591481662,-3.65538696278348
5.56,,,-3.58110189165851,-3.58482657636923
5.57,,,-3.51201654229134,-3.51596357974447
5.58,,,-3.44459890025433,-3.44866623464322
5.59,,,-3.37884268519605,-3.38294111450433
5.6,,,-3.31494196853125,-3.31900106870936
5.61,,,-3.25340519374187,-3.25736267563265
5.62,,,-3.19515724593904,-3.19893714857206
5.63,,,-3.14160285546771,-3.14509597401481
5.64,,,-3.09467433859386,-3.09772732255168
5.65,,,-3.05688629899657,-3.05929731869711
5.66,,,-3.0313881829928,-3.03290585248167
5.67,,,-3.02198462609014,-3.02230977154413
5.68,,,-3.03308662609096,-3.03187915428341
5.69,,,-3.06955491562007,-3.06644914194698
5.7,,,-3.13640036985142,-3.13103167299099
5.71,,,-3.2383214694305,-3.23036499866938
5.72,,,-3.37909267797243,-3.36831104449113
5.73,,,-3.56087089903141,-3.54716300697178
5.74,,,-3.78354787517415,-3.76698709036978
5.75,,,-4.04431695974052,-4.02516616069913
5.76,,,-4.33760991198135,-4.31630527566114
5.77,,,-4.65547790822491,-4.63258172475862
5.78,,,-4.9883645834431,-4.96449652810965
5.79,,,-5.32610421514777,-5.3018662600724
5.8,,,-5.65892800755457,-5.63483838791319
5.81,,,-5.97828967555443,-5.95473681890862
5.82,,,-6.27740075726988,-6.25462147231553
5.83,,,-6.55145413401478,-6.52953430929759
5.84,,,-6.79758057891672,-6.77647273245118
5.85,,,-7.01461734575615,-6.99416792091588
5.86,,,-7.20277384828711,-7.18275366757952
5.87,,,-7.36326716314159,-7.34340009871555
5.88,,,-7.49797930615887,-7.47796621154008
5.89,,,-7.6091664939426,-7.58870320759932
5.9,,,-7.69923244049706,-7.67802194440301
5.91,,,-7.77056501043625,-7.74832456331013
5.92,,,-7.82542819486329,-7.80189255682568
5.93,,,-7.86589828785405,-7.84082015616607
5.94,,,-7.89383289990225,-7.86698151965493
5.95,,,-7.91086277302667,-7.88202147278483
5.96,,,-7.91839832542382,-7.88736151616612
5.97,,,-7.91764487072957,-7.88421486646546
5.98,,,-7.90962222965808,-7.87360610961704
5.99,,,-7.89518587116081,-7.85639250382301
6,,,-7.87504778339602,-7.83328506548536
