"Freq [GHz]","dB(S(1,1)) []","dB(S(1,1)) []","dB(S(2,1)) []","dB(S(2,1)) []"
4.93,-4.22877584068394,,-21.9506310154239,
4.94,-3.54229654490865,,-23.3665258994589,
4.95,-3.01347836131924,,-24.7152080892574,
4.96,-2.59824426862503,,-25.9603279882563,
4.97,-2.26709912912616,,-27.0745835971849,
4.98,-1.99967632734826,,-28.040184944645,
4.99,-1.78154677940645,,-28.8493749049077,
5,-1.60226753229904,,-29.5039437183662,
5.4,,-4.11856233954815,,-20.2392381548826
5.41,,-4.36153278735011,,-20.1723547577291
5.42,,-4.61256033694003,,-20.1305488762871
5.43,,-4.87142718936218,,-20.1136797576768
5.44,,-5.13801194875943,,-20.1215297341757
5.45,,-5.41233961439291,,-20.1538233325383
5.46,,-5.69463946033417,,-20.2102489927011
5.47,,-5.98541112283839,,-20.2904827384962
5.48,,-6.28549956345977,,-20.3942128313549
5.49,,-6.59618022198904,,-20.5211639093245
5.5,,-6.91925672182615,,-20.671118163782
5.51,,-7.25717511546701,,-20.8439294409119
5.52,,-7.61316123945741,,-21.0395235135483
5.53,,-7.99139223120351,,-21.2578745468767
5.54,,-8.39722202113538,,-21.4989470140576
5.55,,-8.83749897787074,,-21.762604240745
5.56,,-9.32105079473835,,-22.0485311971702
5.57,,-9.85947217470901,,-22.3563153586436
5.58,,-10.468410972209,,-22.6858931437559
5.59,,-11.1695570616355,,-23.0383266680947
5.6,,-11.9935942252562,,-23.416242629226
5.61,,-12.9849584897949,,-23.8231246717884
5.62,,-14.2109077535499,,-24.2617466598418
5.63,,-15.7809585976201,,-24.7328736930408
5.64,,-17.8929428110404,,-25.2346729741462
5.65,,-20.9601771002663,,-25.7624311047065
5.66,,-26.013335761039,,-26.3082341306866
5.67,,-32.0301659291175,,-26.8607195984748
5.68,,-24.665325711741,,-27.4053020096286
5.69,,-19.230360245092,,-27.9252426823785
5.7,,-15.6584761919659,,-28.4034790477699
5.71,,-13.0243521458801,,-28.824324991009
5.72,,-10.9581203580485,,-29.1736773850052
5.73,,-9.28380842142405,,-29.4372731526521
5.74,,-7.90484753208371,,-29.5989137849823
5.75,,-6.761637004527,,-29.6422937624993
5.76,,-5.81318223850431,,-29.5580845812897
5.77,,-5.0283839444929,,-29.3523547898511
5.78,,-4.38179783830293,,-29.0491135242226
5.79,,-3.85164579609777,,-28.6841022392038
5.8,,-3.41896011692405,,-28.2944183213937
5.81,,-3.06724164401898,,-27.9104478228678
5.82,,-2.7822948427659,,-27.5527335669362
5.83,,-2.55208034262651,,-27.2326248370352
5.84,,-2.36653129689238,,-26.9545502632893
5.85,,-2.21733324965485,,-26.718424748039
5.86,,-2.09768650296692,,-26.5215653548195
5.87,,-2.00207129768525,,-26.3600112330621
5.88,,-1.92603046035386,,-26.2293498096546
5.89,,-1.86597747705614,,-26.1251930591611
5.9,,-1.81903264573505,,-26.0434267815848
5.91,,-1.78288652869551,,-25.9803215103828
5.92,,-1.75568808206784,,-25.9325636036316
5.93,,-1.73595408979895,,-25.8972431474185
5.94,,-1.72249644178125,,-25.8718206620345
5.95,,-1.71436405661019,,-25.8540853151722
5.96,,-1.71079665984764,,-25.842111657091
5.97,,-1.71118807403623,,-25.8342185032188
5.98,,-1.71505709787075,,-25.8289316250703
5.99,,-1.72202442249171,,-25.8249508087727
6,,-1.73179434582035,,-25.8211212510032
